brand,product_name,month,category,retail_price,discounted_price,discount_percent,is_FK_Advantage_product,product_rating,overall_rating
,"Colat COLAT_M08 Roman Numerals Analog Watch  - For Men, Boys",December 2015,Watches,4999.0,1049.0,79.01580316063213,False,5.0,5.0
,Kielz Ladies Boots,December 2015,Footwear,2299.0,899.0,60.89604175728578,False,3.5,3.5
,Belle Gambe Boots,December 2015,Footwear,3999.0,1695.0,57.61440360090022,False,,
,"Titan 1639SL03 Analog Watch  - For Boys, Men",December 2015,Watches,1795.0,1695.0,5.571030640668524,False,,
,Selfie Boots,December 2015,Footwear,1200.0,599.0,50.083333333333336,False,,
,Clincher Semonday Boots,December 2015,Footwear,3499.0,3499.0,0.0,False,,
,"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls",December 2015,Watches,799.0,200.0,74.96871088861077,False,5.0,5.0
,Kielz Ladies Boots,December 2015,Footwear,2499.0,1149.0,54.021608643457384,False,,
,"Q&Q VQ13-008 Analog Watch  - For Girls, Boys",December 2015,Watches,585.0,526.0,10.085470085470085,True,3.6,3.6
,Belle Gambe Boots,December 2015,Footwear,3499.0,1765.0,49.55701629036868,False,,
,"Escort E-1700-906_Blk Analog Watch  - For Men, Boys",December 2015,Watches,1925.0,1829.0,4.987012987012987,False,,
,Roxy Boots,December 2015,Footwear,19995.0,9997.0,50.00250062515629,True,,
,Lee Men's Jeans,December 2015,Clothing,2699.0,1619.0,40.01482030381623,True,,
,Bruno Manetti 676 Boots,December 2015,Footwear,2999.0,1199.0,60.02000666888962,False,,
,"Estilo 1056 Analog Watch  - For Boys, Men",December 2015,Watches,1299.0,299.0,76.98229407236336,False,,
,Jack klein BlackLed Digital Watch  - For Boys,December 2015,Watches,999.0,150.0,84.98498498498499,False,1.0,1.0
,"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women",December 2015,Watches,235.0,150.0,36.17021276595745,False,2.3,2.3
,Shuz Touch Boots,December 2015,Footwear,1499.0,1270.0,15.276851234156105,False,,
,Foot Candy Boots,December 2015,Footwear,2899.0,1699.0,41.393583994480856,False,,
,Credos Boots,December 2015,Footwear,4499.0,3499.0,22.22716159146477,False,,
,"Rich Club Apple Shaped LED Digital Watch  - For Boys, Girls",December 2015,Watches,999.0,149.0,85.08508508508508,False,,
,"Skmei AD1031-Black Formal Analog-Digital Watch  - For Men, Boys",December 2015,Watches,2499.0,1699.0,32.01280512204882,False,,
,Kielz Ladies Boots,December 2015,Footwear,2799.0,1299.0,53.59056806002144,False,,
,"Kms Ironman_Look_Led_Black11 Digital Watch  - For Men, Women, Girls, Boys",December 2015,Watches,1395.0,350.0,74.91039426523297,False,,
,Anand Archies Boots,December 2015,Footwear,499.0,499.0,0.0,False,,
,Magnum Footwear Lifestyle Boots,December 2015,Footwear,2999.0,1899.0,36.67889296432144,False,,
,Steppings Trendy Boots,December 2015,Footwear,2199.0,1099.0,50.022737608003645,False,,
,Swag 670038 Analog Watch  - For Boys,December 2015,Watches,2499.0,899.0,64.02561024409763,False,,
,Bonzer Boots,December 2015,Footwear,999.0,499.0,50.050050050050054,False,,
Skinny Fit,Roadster Skinny Fit Fit Men's Jeans,December 2015,Clothing,2499.0,1249.0,50.020008003201276,True,3.0,3.0
,Selfie Black Denim Boots,December 2015,Footwear,1000.0,499.0,50.1,False,,
,Steppings Boots Boots,December 2015,Footwear,3199.0,2559.0,20.006251953735543,False,,
,"Q&Q LLA2-213 Digital Watch  - For Boys, Girls",December 2015,Watches,645.0,645.0,0.0,False,5.0,5.0
,Belle Gambe Winter Boots,December 2015,Footwear,3499.0,1695.0,51.55758788225208,False,4.8,4.8
,"Hala Red In Black trendy digital Digital Watch  - For Boys, Girls, Men",December 2015,Watches,399.0,159.0,60.150375939849624,False,5.0,5.0
,Kielz Ladies Boots,December 2015,Footwear,2499.0,1249.0,50.020008003201276,False,,
,Kielz Boots,December 2015,Footwear,2499.0,1999.0,20.00800320128051,False,,
,"Franck Bella FB74C Analog Watch  - For Boys, Men",December 2015,Watches,1299.0,780.0,39.95381062355658,False,,
,Carlton London Boots,December 2015,Footwear,2295.0,2295.0,0.0,False,5.0,5.0
,Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,December 2015,Watches,349.0,249.0,28.653295128939828,False,2.7,2.7
,Shuz Touch Boots,December 2015,Footwear,4495.0,4495.0,0.0,False,,
,La Briza Andria Boots,December 2015,Footwear,2099.0,2099.0,0.0,True,3.6,3.6
,"Skmei 1070BLK Sports Analog-Digital Watch  - For Men, Boys",December 2015,Watches,2345.0,1179.0,49.72281449893391,False,4.4,4.4
,Kielz Ladies Boots,December 2015,Footwear,1899.0,999.0,47.39336492890995,False,,
,Carlton London Boots,December 2015,Footwear,1995.0,1995.0,0.0,False,,
,"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys",December 2015,Watches,1799.0,1199.0,33.35186214563646,False,,
,Urban Country Ladies Boots,December 2015,Footwear,3299.0,1650.0,49.98484389208851,False,,
,Now SP-ETHNIC Analog Watch  - For Boys,December 2015,Watches,600.0,600.0,0.0,False,,
,"Disney MSFR190-01B Analog Watch  - For Boys, Girls",December 2015,Watches,1350.0,1350.0,0.0,False,,
,Get Glamr Designer Yuvu Boots,December 2015,Footwear,3499.0,2799.0,20.005715918833953,False,,
,Kielz Boots,December 2015,Footwear,2499.0,2399.0,4.001600640256102,False,,
,Belle Gambe Boots,December 2015,Footwear,3999.0,1765.0,55.86396599149788,False,,
,Remson India Boots,December 2015,Footwear,3999.0,1999.0,50.01250312578145,False,,
,Steppings Trendy Boots,December 2015,Footwear,1599.0,639.0,60.0375234521576,False,,
,Jacques Farel KWD2324 Analog Watch  - For Boys,December 2015,Watches,2850.0,1567.0,45.01754385964912,False,,
,Rialto Boots,December 2015,Footwear,2795.0,1800.0,35.59928443649374,False,,
,Salt N Pepper 13-455 Pisa Black Boots,December 2015,Footwear,4995.0,3746.0,25.005005005005003,False,,
,"Oxter Chrono Blue Italia Analog Watch  - For Men, Boys",December 2015,Watches,999.0,299.0,70.07007007007007,False,,
,Klaur Melbourne Boots,December 2015,Footwear,3499.0,1574.0,55.01571877679336,True,,
,"Positif Pfbk612 Analog Watch  - For Men, Boys",December 2015,Watches,1100.0,800.0,27.27272727272727,False,,
,Selfie Boots,December 2015,Footwear,1200.0,599.0,50.083333333333336,False,,
,"D'SIGNER 688RGM _BRN Analog Watch  - For Men, Boys",December 2015,Watches,8995.0,8545.0,5.00277932184547,False,,
